Number,Company,Company type,Value proposition,Segments, Relationships,Channels,Activities,Resources,Partnerships,Revenue model,EBIT %
1,AB Electrolux,non-e-business,Low cost,B-to-B and B-to-C,Medium level service,Combination of online and offline,"Production, Sales","Physical, Human",Many important partners,Sales of ownership,3.19
2,Abercrombie & Fitch,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"Production, Sales","Physical, Human, Intellectual",Many important partners,Sales of ownership,3.00
3,Actia Group,non-e-business,Differentiation,B-to-B,Medium level service,Combination of online and offline,"R&D, Production","Physical, Intellectual",Not many important partners,Sales of ownership,6.27
4,Adidas AG,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"R&D, Sales","Physical, Human, Intellectual",Many important partners,Sales of ownership,20.60
5,Adler,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"Production, Sales","Physical, Human",Many important partners,Sales of ownership,4.90
6,Adobe Systems Inc.,non-e-business,Differentiation,B-to-B and B-to-C,Medium level service,Combination of online and offline,"Programming, Sales","Human, IT, Intellectual",Some important partners,Sales of ownership and access,9.95
7,Advanced Micro Devices (AMD),non-e-business,Differentiation and low cost,B-to-C,High level service,Combination of online and offline,"R&D, Production","Physical, Intellectual",Many important partners,Sales of ownership,-4.01
8,Aeroflot,non-e-business,Low cost,B-to-C,Medium level service,Combination of online and offline,"Services, Sales","Physical, Human",Some important partners,Sales of access,6.80
9,Air Asia,non-e-business,Low cost,B-to-C,Medium level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,15.77
10,Air Berlin,non-e-business,Low cost,B-to-C,Medium level service,Combination of online and offline,"Services, Sales","Physical, Human",Some important partners,Sales of access,-7.00
11,Air Canada,non-e-business,Differentiation,B-to-C,High level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,3.41
12,Air China,non-e-business,Differentiation,B-to-C,Medium level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,6.90
13,Air France,non-e-business,Differentiation,B-to-C,High level service,Combination of online and offline,"Services, Sales","Physical, Human",Many important partners,Sales of access,3.80
14,Airbus,non-e-business,Differentiation,B-to-B,High level service,Offline,"R&D, Production","Physical, Human, Intellectual",Many important partners,Sales of ownership,6.38
