Name,Official Name,Currency,Capital,Region,Subregion,Demonym,Landlocked,Area
Aruba,Aruba,AWG,Oranjestad,Americas,Caribbean,Aruban,FALSE,180
Afghanistan,Islamic Republic of Afghanistan,AFN,Kabul,Asia,Southern Asia,Afghan,TRUE,652230
Angola,Republic of Angola,AOA,Luanda,Africa,Middle Africa,Angolan,FALSE,1246700
Anguilla,Anguilla,XCD,The Valley,Americas,Caribbean,Anguillian,FALSE,91
Albania,Republic of Albania,ALL,Tirana,Europe,Southern Europe,Albanian,FALSE,28748
Andorra,Principality of Andorra,EUR,Andorra la Vella,Europe,Southern Europe,Andorran,TRUE,468
United Arab Emirates,United Arab Emirates,AED,Abu Dhabi,Asia,Western Asia,Emirati,FALSE,83600
Argentina,Argentine Republic,ARS,Buenos Aires,Americas,South America,Argentinean,FALSE,2780400
Armenia,Republic of Armenia,AMD,Yerevan,Asia,Western Asia,Armenian,TRUE,29743
American Samoa,American Samoa,USD,Pago Pago,Oceania,Polynesia,American Samoan,FALSE,199
Antigua and Barbuda,Antigua and Barbuda,XCD,Saint John's,Americas,Caribbean,"Antiguan, Barbudan",FALSE,442
Australia,Commonwealth of Australia,AUD,Canberra,Oceania,Australia and New Zealand,Australian,FALSE,7692024
Austria,Republic of Austria,EUR,Vienna,Europe,Western Europe,Austrian,TRUE,83871
Azerbaijan,Republic of Azerbaijan,AZN,Baku,Asia,Western Asia,Azerbaijani,TRUE,86600
Burundi,Republic of Burundi,BIF,Bujumbura,Africa,Eastern Africa,Burundian,TRUE,27834
Belgium,Kingdom of Belgium,EUR,Brussels,Europe,Western Europe,Belgian,FALSE,30528
Benin,Republic of Benin,XOF,Porto-Novo,Africa,Western Africa,Beninese,FALSE,112622
Burkina Faso,Burkina Faso,XOF,Ouagadougou,Africa,Western Africa,Burkinabe,TRUE,272967
Bangladesh,People's Republic of Bangladesh,BDT,Dhaka,Asia,Southern Asia,Bangladeshi,FALSE,147570
Bulgaria,Republic of Bulgaria,BGN,Sofia,Europe,Eastern Europe,Bulgarian,FALSE,110879
Bahrain,Kingdom of Bahrain,BHD,Manama,Asia,Western Asia,Bahraini,FALSE,765
